parameter,value,,,
k1_1,6.00E-06,,,
k1_2,0.06,,,
k1_3,60,,,
k1_4,6.00E-06,,,
k1_5,0.06,,,
k1_6,60,,,
k1_7,1.07E-03,,,
k1_8,1.41,,,
k1_9,60,,,
k1_10,7.80E-04,,,
k1_11,2.17E-03,,,
k1_12,7.68E-05,,,
k1_13,1.39E-03,,,
k1_14,0.0116,,,
k1_15,0.116,,,
k1_16,1.16E-02,,,
k1_17,1.16E-03,,,
k1_18,1.16E-02,,,
k1_19,1.16E-03,,,
k1_20,0.0115525,,,
k1_21,0.00115525,,,
k1_22,2.07E-03,,,
k1_23,6.00E-02,,,
k1_24,6.00E+01,,,
k1_25,0.000006,,,
k1_26,0.06,,,
k1_27,60,,,
k1_28,7.80E-06,,,
k1_29,2.17E-03,,,
k1_30,3.25E-05,,,
k1_31,2.60E-04,,,
k1_32,6.00E-06,,,
k1_33,6.00E-02,,,
k1_34,6.00E+01,,,
k1_35,2.07E-03,,,
k1_36,6.00E-02,,,
k1_37,6.00E+01,,,
k1_38,3.25E-05,,,
k1_39,2.60E-04,,,
k1_40,0.000857142,,,
k1_41,0.06,,,
k1_42,0.000857142,,,
k1_43,0.06,,,
k1_44,0.000857142,,,
k1_45,0.06,,,
k1_46,0.000857142,,,
k1_47,0.06,,,
k1_48,8.57E-04,,,
k1_49,6.00E-02,,,
k1_50,6.00E+01,,,
k1_51,0.000857142,,,
k1_52,0.06,,,
k1_53,60,,,
k1_54,0.000857142,,,
k1_55,0.06,,,
k1_56,60,,,
k1_57,0.000857142,,,
k1_58,0.06,,,
k1_59,60,,,
k1_60,0.0611505,,,
k1_61,0.001444057,,,
k1_62,17.70945418,,,
k1_63,0.011552453,,,
k1_64,1.21E+05,,#1.21E+04,#1.21E+05
k1_65,6.91E-01,,#477.0945418,
k1_66,14081.818,,,
k1_67,0.936,,,
k1_68,3874.8,,,
k1_69,0.468,,,
k1_70,1,,,
k1_71,0.01155245,,,
k1_72,0.001155245,,,
k1_73,0.093,,,
k1_74,0.0093,,,
k1_75,6.93E-02,,,
k1_76,6.75E-02,,,
k1_77,6.75E-02,,,
k1_78,6.93E-02,,,
k1_79,0.0693,,,
k1_80,0.0675,,,
k1_81,701.64059,,,
k1_82,0.011552453,,,
k1_83,8.75E+03,,,
k1_84,6.82E-01,,,
k1_85,0.011552453,,,
k1_86,0.011552453,,,
k1_87,6.91E-01,,,
k1_88,6.91E-01,,,
k1_89,0.936,,,
k1_90,3.78E+00,,,
k1_91,0.11552453,,,
k2_eps,1.00E+00,,,